Unnamed: 0,job title,company,salary,description,rank
285,Staff Associate - Economics Division,Columbia Business School,"$50,000-60,000 per year","Columbia Business School is seeking to hire one Staff Associate for the Economics Division. The work will include quantitative and qualitative research and analysis involving the collection, coordination, and management of information and data. This position provides an opportunity to gain experience in academic economics research and would be ideal preparation for a Ph.D. program in economics or other related fields. This is a one-year position with a possible extension to a second year. The Staff Associate duties involve work in one or more of the following areas of research: macroeconomics, labor economics, development economics, public finance, urban and spatial economics. Specific duties include:Collect, clean, and maintain datasets and databases. Extract and link data from multiple databases for analysis. Prepare detailed documentation.Develop models and implement program code (STATA, Python, SQL, R, SAS, MATLAB, etc.).Perform statistical analysis, including regression analysis and machine learning techniques.Assist with data analysis and dissemination of findings through the preparation of reports, journal articles, presentations, websites, and other research outlets.",1
284,Staff Associate - Economics Division,Columbia Business School,"$60,500 per year","Columbia Business School is seeking to hire one Research Staff Associate for the Economics Division. The work will include empirical and theoretical research on sovereign debt, the emergence, propagation, and resolution of sovereign debt crises. This position provides an opportunity to gain experience in academic business research, with a special focus on fields such as finance, economics, statistics, and data science; and would be ideal preparation for a Ph.D. program or other graduate study. This is a two-year position with a possible extension to a third year. The role is dependent on funding. The Staff Associate duties involve work in one or more of the following areas of research: economics, and statistics. Specific duties include:Collect, clean, and maintain datasets and databases. Extract and link data from multiple databases for analysis. Prepare detailed documentation.Develop models and implement program code (STATA, Python, SQL, R, SAS, Matlab, etc.).Perform statistical analysis, including regression analysis and machine learning techniques.Assist with data analysis and dissemination of findings through the preparation of reports, journal articles, presentations, websites, and other research outlets.",2
273,Staff Associate of Research in Finance,Columbia Business School,"$50,000-60,000 per year","DescriptionColumbia Business School is seeking to hire two Staff Associates for the Finance Division. The work will include quantitative and qualitative research and analysis, collection, coordination, and management of information and data, development of research materials, and work on special projects relating to the research areas within the division. This position provides an opportunity to gain experience in academic business research, with a special focus on fields such as finance, economics, statistics, and data science; and, would be ideal preparation for a Ph.D. program or other graduate study. This is a two-year position.The Staff Associate duties involve work in one or more of the following areas of research: finance, economics, and statistics. Specific duties include:Collect, clean, and maintain computer datasets and databases. Assist with data entry and ensure data integrity. Extract and link data from multiple databases for analysis. Prepare detailed documentation.Develop models and implement program code (STATA, Python, SQL, R, SAS, Matlab, etc.). Perform statistical analysis, including regression analysis and machine learning techniques.Assist with data analysis and dissemination of findings through the preparation of reports, journal articles, presentations, websites, and other research outlets. Perform case-based research, including work with detailed primary documents.",3
2,Clinical Data Analyst,Montefiore,"$86,250-115,000 per year","Exciting opportunity to join our Transitional Care Excellence team as a clinical data analyst! This position works closely with health care leaders to assist with performing analytical and clinical build reports to evaluate and monitor operational effectiveness/efficiency, support decision-making and strategic planning, as well as quality improvement efforts related to readmissions and mortality. Please include a cover letter that includes your experience in health care.Ideal candidates will have:Bachelors Degree in Informatics, Statistics, Computer Science, Public Health or related and 3 years of experience (required)Masters Degree (MS, MBA, MPH, or MHA) preferredPassion for improving health care and an interest in clinical researchExperience in Epic, data reporting, data mining, and/or analytics in health care or related field (required)Experience with, at least, one data visualization software tool (e.g., Power BI, Web Intelligence, or Tableau)Strong troubleshooting skills, logical, and creative problem-solving skills.Excellent interpersonal, writing, presentation, and time management.",4
162,2025 Institutional Equity Derivatives Trading & Structuring Summer Analyst Program (New York),Morgan Stanley,"$100,000-120,000 per year","Morgan Stanley’s Institutional Equity Division (IED) is a world leader in the origination, distribution and trading of equity, equity-linked and equity-derivative securities. The Division services a global Institutional client base, providing clients with innovative product solutions that help to generate alpha within their portfolios.Overview & PlacementThe Institutional Equity Division’s Summer Analyst Program is a 10-week program that begins with one week of classroom training, followed by a minimum of three rotations across the division. Summer Analysts will pursue one of two Program Tracks: Institutional Equity or Institutional Equity Derivatives Trading and Structuring. While we encourage candidates to apply to the one track that best suits their interests and skillset, applications can be submitted for both tracks. Please note that this will count towards the three-program application maximum.Please apply to this program if you are interested in our more quantitative, trading or structuring/content roles within Equities. Please note, you should apply for the 2025 Institutional Equity Summer Analyst Program (New York) if you are interested in our Sales, Prime Brokerage or Sales-Trading roles within Equities.All Summer Analysts will receive on-the-job training and be exposed to a wide variety of roles, products and services throughout IED, working alongside experienced professionals in a fast-paced, client-facing, and market-driven environment. Summer Analysts will have the opportunity to broaden and strengthen their respective skillsets, collaborating with individuals across IED on meaningful projects and initiatives. In addition, the Program features a Senior Management Speaker Series, desk teach-ins, cross-divisional networking events, community service events, performance reviews, and a robust mentorship program.Certain roles within the Institutional Equity Division require a more technical skillset. Derivatives Trading and Structuring is responsible for the generation and facilitation of liquidity, as well as innovative product and trading solutions across a variety of Derivative products, including Equity Options (both exchange- listed and over the counter), Securitized Derivatives, and Convertible Bonds. Products and services are delivered across a full range of distribution channels, including our corporate, retail, and institutional clients. Some of our Derivatives Trading & Structuring desks include:• AMM• Baskets• ETFs•Exotics• Structuring• QDSTraining ProgramThe program begins with a one-day orientation where Summer Analysts are introduced to the Firm and primary businesses within, as well as to one another at our opening Firmwide networking event. For the remainder of training, Summer Analysts will attend divisional-specific events designed to help develop the core skills required for a successful summer.Qualifications / Skills / Requirements:•Pursuing an undergraduate degree with a technical proficiency in areas such as Mathematics, Statistics, Physics, Computer Science, and Engineering, with a graduation date of December 2025 or Spring 2026•Minimum 3.0 GPA•Comfortable applying statistical analysis and deriving value from data•Enjoy solving complex problems that require deep analytical reasoning and quantitative analysis•Familiar with coding languages such as Python, Q, R, SQL, or VBA•Strong verbal and written communication skills•Candidate is collaborative, a quick learner, adaptable, versatile, a multi-tasker and possesses a strong work ethic•While no prior knowledge of finance or trading is required, candidate must have a keen interest in finance and marketsApplication Process and DeadlineIn order to be considered, candidates must apply by August 16, 2024 at 11:55 PM EST. You must also complete a Hirevue video within 48 hours of completing the rest of your application and by the August 16th deadline.Expected base pay rate(s) for the role will be $110,000 per year at the commencement of employment. However, base pay if hired will be determined on an individualized basis and is only part of the total compensation package, which, depending on the position, may also include commission earnings, incentive compensation, discretionary bonuses, other short and long-term incentive packages, and other Morgan Stanley sponsored benefit programs.Morgan Stanley's goal is to build and maintain a workforce that is diverse in experience and background but uniform in reflecting our standards of integrity and excellence. Consequently, our recruiting efforts reflect our desire to attract and retain the best and brightest from all talent pools. We want to be the first choice for prospective employees.",5
3,Data Analyst,Fuge Technologies,$40.00-50.00 per hour,"Requirements: Proficient in SQL for database querying and management. Expertise in data analysis and data mining techniques. Proven experience as a Business/Product Analyst. In-depth knowledge of the Finance business domain.  Responsibilities: Conduct data analysis to identify trends, patterns, and insights. Utilize strong SQL skills for efficient database querying and manipulation. Collaborate with cross-functional teams to gather and analyze business requirements. ",6
15,business analyst,TekInsta Solutions,$40.00-50.00 per hour,"Job Title: Business AnalystStart Date: ASAP. Job Description:LOOKING FOR GC CANDIDATES WHO ARE READY TO RELOCATE Expertise with Excel, including writing long formulas, pivot tables, comparing multiple data sources to spot differences           Expertise with testing reports. Verifying data totals compared to various data sources (some online, some not)     Expertise with manual Quality Assurance testing of custom web applications                 Expertise with communicating effectively and professionally, orally and in writing, with business teams and external users   Demonstrated technical writing experience – user guides, user instructions, system specificationsGeneral knowledge of an issue ticketing system – adding issues to the system, statusing tickets, resolving and closing           Ability to interact as a productive team member and/or project team, or manage project tasks independently        Ability to study and learn independently; ability to adapt work to unanticipated changes and shifting priorities     Demonstrated ability to formulate creative solutions to problems while working within defined boundaries          Familiarity with Smartsheet including workflow, formulas and DocuSign integration                  General knowledge of writing / running basic SQL queries to check data for reports / testing Additional description (including, but not limited to):1. Managing business analysis work or projects with distinct deliverables to a solution2. Identifying and documenting business processes, issues, value levers, metrics, and capabilities3. Collecting, organizing, and analyzing data4. Completing analysis and documentation of as-is capabilities.5. Conducting interviews to gather business requirements.5. Supporting required system maintenance activities, including support desk, site support, training delivery, etc.8. Supporting change management and communications",7
158,Intern – Technical Specialist – Software Development (Summer 2024),NJ TRANSIT,$18.00-28.00 per hour,"NJ TRANSIT SeekingIntern – Technical Specialist – Software Development (Summer 2024) NJ TRANSIT is the third-largest transportation agency in North America and fully committed to delivering safe and reliable services. This tactic has driven our success in developing real-world solutions that affect many individuals lives every day. We are looking for talented students to hire for our Internship Program who can help initiate our solution-based business model to the next level. As an intern at NJ TRANSIT, you will oversee projects from concepts to completion. Our interns step away from the regular sitting at the desk to having the opportunity at hands-on experience with several business units within NJ TRANSIT. Our ideal candidate is passionate about learning and using creative solutions to make an impact on the lives of others.Objective of this role:Technical specialist/Analyst working on proof-of-concept demonstrations of technology innovation projects.  Technical Specialist will use skills in database administration/ backend development/ frontend development to read data from 3rd party source software systems and source hardware and store this information in NJ TRANSIT databases, as well as to display data within dashboards.  Specialist will also read data from NJ TRANSIT systems and push data to 3rd party software and hardware systems. Ideal candidate will have experience in credential/ authentical management, RestAPIs, streaming APIs, reading and writing in databases, data manipulation using Python, SQL, Mongo, R, or other technologies.  Preference given to technical candidates with experience in transportation and/ or urban planning. ",8
17,"Analyst, Data Scientist, Residential Real Estate Analytics","Cerberus Capital Management, L.P.","$100,000-115,000 per year","About Us:  Founded in 1992, Cerberus is a global leader in alternative investing with approximately $60 billion in assets across complementary credit, private equity, and real estate strategies. We invest across the capital structure where our integrated investment platforms and proprietary operating capabilities create an edge to improve performance and drive long-term value. Our tenured teams have experience working collaboratively across asset classes, sectors, and geographies to seek strong risk-adjusted returns for our investors. For more information about our people and platforms, visit us at www.cerberus.com.  Responsibilities/Deliverables:Analyze market data (rent comps, demographics, regional economics) to identify key metrics influencing residential real estate trends.Develop and implement regression and other machine learning models for forecasting market trends and pricing strategies.Standardize data formats, handle missing values, and identify outliers.",9
18,Marketing Data Analyst,Veeva Systems,"$60,000-70,000 per year","Veeva Systems is a mission-driven organization and pioneer in industry cloud, helping life sciences companies bring therapies to patients faster. As one of the fastest-growing SaaS companies in history, we surpassed $2B in revenue in our last fiscal year with extensive growth potential ahead.At the heart of Veeva are our values: Do the Right Thing, Customer Success, Employee Success, and Speed. We’re not just any public company – we made history in 2021 by becoming a public benefit corporation (PBC), legally bound to balancing the interests of customers, employees, society, and investors.Join us in transforming the life sciences industry, committed to making a positive impact on its customers, employees, and communities.Veeva is dedicated to building the careers of new university graduates. Generation Veeva is a global organization that offers multiple development programs and career paths. Each path is designed to develop you professionally in a supportive environment. Workshops, mentors, career path planning, and on-the-job learning are all things you can look forward to as you grow your career at Veeva.Join us as a Marketing Data Analyst as part of our Analytics Development Program. This program is specifically designed to build the next generation of Veeva and Crossix and support recent graduates in successfully launching their careers.",10
5,Data Analyst,US Standard Products,"$50,000-60,000 per year","Data AnalystOn site Englewood New JerseyPrimary Duties/Responsibilities:Analyze different datasets related to customer accounts to detect, analyze, and interpret useful patterns and trends in complex data sets that could be helpful for diagnosis and prediction of consumption, asset failure, maintenance needs.Using data to find and analyze sources, group data in logical categories, ensure data consistency, cleanse the data and provide insights.Create and analyze reports to determine patterns and trends & present them visually by means of graphs, charts, and dashboards.· Preparing reports for the management stating trends, patterns, and predictions using relevant dataPerforming analysis to assess the quality and meaning of data.Preparing reports for the management and compliance needsExcellent organizational skills required.Qualifications",11
206,Data Scientist – Data Intelligence Group (Summer Internship),Balyasny Asset Management,"$7,500-9,000 per month"," OverviewAs a Data Scientist intern, you will be responsible for extracting actionable insights from our many rich datasets. You will be involved at every stage of this process, including hypothesis generation, data cleansing and wrangling, building and testing appropriate statistical and machine learning models, and communicating your findings to senior managers. Responsibilities·      Collaborate with investment teams to identify potential ideas to investigate with data·      Conduct research autonomously to discover datasets that can be retrieved and analyzed to solve business problems·      Collect and clean data, and perform exploratory data analyses·      Test hypotheses using suitable statistical techniques·      Use machine learning and data mining tools to uncover patterns and identify associations",12
203,Data Scientist,Up & Up,"$80,000-200,000 per year","****The Role****Put simply, data scientists at Up&Up solve the hardest problems in the business by whatever means get the job done most effectively. You’ll use data to quickly diagnose these problems, design and implement tailored solutions, and measure their immediate impact.This is not your typical big tech data science role - as a Data Scientist at Up&Up, you’ll be expected to own the solution to the most impactful problems in the business end to end, acting as your own engineer, PM, designer, and software architect.By owning problems end to end, data scientists at Up&Up have an unprecedented opportunity to grow quickly with the company and lead mission critical parts of the business. If rapid growth, building new things, and ownership of challenging problems excite you, this is a perfect opportunity to jump straight into the deep end. Job Description:Own the most impactful and challenging problems in the business from end to end",13
201,Data Scientist,New York City Council,"$85,000-110,000 per hour","The New York City Council, an equal opportunity employer, seeks an experienced professional to serve as a Data Scientist in the Legislative Division.SALARY RANGE:$75,000 to $85,000KEY RESPONSIBILITIES:The Data Scientist will:Develop and enhance investigations through data analytics.Collect and utilize data to inform investigations.Perform complex statistical analyses of sample and aggregate data sets to identify patterns, trends, and systemic issues.Create data visualizations to present results.Operate as a critical member of Oversight and Investigations Divisions multi-disciplinary team of lawyers, data scientists, and investigators to establish leads and work to develop the scope of investigations.Assist in the drafting of information requests, Committee Reports, and other Oversight and Investigations Division outputs.Engage with stakeholders outside the Council, including local, state, and federal agencies.",14
23,Data Analyst Intern,OTC Markets Inc.,$20.00-30.00 per hour,"OTC Markets Group Inc., operator of premier US financial marketplaces, is seeking a Data Analyst Intern to join our IT Infrastructure Department for a paid internship this summer. This position is scheduled to start on June 17, 2024, and terminate on August 16, 2024.Please note OTC Markets is currently operating in a hybrid work environment (three days in office, two days remotely).Our Core Values are incorporated in each aspect of our Company. We encourage autonomy, professionally passionate discussions of opposing viewpoints, creativity, and transparency. We are Open, Transparent, and Connected. We are OTC strong. At OTC Markets, we all win together.We invest heavily in employee satisfaction and offer all our employees a highly competitive compensation package. As a dynamic, growing company that fosters an open culture, we emphasize autonomy, responsibility, innovation, and self-discipline. We are looking for someone who wants to make an impressive impact at a company known for its reputation on quality and achievement.RESPONSIBILITIES:Analyze, organize, and convert raw data into useful information and insights for the business.",15
200,Data Scientist,AdTheorent,"$95,000-105,000 per year","We are looking to hire a results-oriented data scientist with experience in data analysis and predictive modeling. Experience in advertising or real time bidding is a plus. The job will involve research, analysis and coding to improve our current technology and develop innovative new solutions to the problems posed by real time bidding. This is an exciting opportunity for a skilled professional to apply big data techniques to work within a very fast-growing industry.Note that this is not a remote position. Responsibilities Include: Build predictive models using machine learning algorithms to optimize digital advertising campaignsIndependently manipulate and analyze high volume, high-dimensionality real time bidding (RTB) data in order to identify relationships and trendsCommunicate and interact across teams in the company to understand the underlying business problems, provide support and promote the work of the data science team to the business",16
21,Marketing Data Analyst,Veeva Systems,"$60,000-75,000 per year","Join us as a Marketing Data Analyst as part of our Analytics Development Program. This program is specifically designed to build the next generation of Veeva and Crossix and support recent graduates in successfully launching their careers.Marketing Data Analysts (MDAs) are part of the internal team that acts as the backbone to the client facing organization team at Crossix.  MDAs use sophisticated analytical techniques to tease out the connections between healthcare marketing tactics and patient health outcomes using proprietary, privacy-centric technology. You’ll learn the ins and outs of the rich healthcare marketing ecosystem while observing the direct effects of particular tactics on patient health.We know diversity is essential to a high-performing team. We are an equal-opportunity employer and invite all qualified applicants regardless of race, color, religion, sex, gender identity, sexual orientation, marital status, ancestry, national origin, age, disability, genetic information, or veteran status.Qualified candidates must be legally authorized to be employed in the United States. Veeva does not provide sponsorship for employment visa status (e.g., H-1B, OPT or TN status) for this employment position.*This position requires you to work in the office 4 days/week for your first two years. After 2 years, you will have the flexibility to .",17
44,Investment Data Analyst – Data Intelligence Group (Summer Internship),Balyasny Asset Management,"$7,500-9,000 per month"," OverviewAs a Data Analyst Intern, you will be responsible for managing and maintaining critical datasets used by our investment teams. You will need to manage relationships across the entire data pipeline, from working with data vendors to delivering clean data to the end user in an easily digestible format. If you have a passion for collaborative problem solving and love building elegant data solutions, you will excel in this role. Responsibilities·      Work with various teams to understand their data requirements and provide guidance on data usage·      Design interfaces to connect various financial and alternative data sources by collaborating with end users and data engineers·      Monitor and review data collection, data quality and data cleansing infrastructure·      Explore ways to improve data evaluation processes and ensure data integrity",18
