job title,company name,company location,salary,description,link,overall score
data scientist,new york city council,"new york, ny 10007 (tribeca area)city hall","$75,000 - $85,000 a year","the new york city council, an equal opportunity employer, seeks an experienced professional to serve as a data scientist in the legislative division.salary range:$75,000 to $85,000key responsibilities:the data scientist will:develop and enhance investigations through data analytics.collect and utilize data to inform investigations.perform complex statistical analyses of sample and aggregate data sets to identify patterns, trends, and systemic issues.create data visualizations to present results.operate as a critical member of oversight and investigations divisions multi-disciplinary team of lawyers, data scientists, and investigators to establish leads and work to develop the scope of investigations.assist in the drafting of information requests, committee reports, and other oversight and investigations division outputs.engage with stakeholders outside the council, including local, state, and federal agencies.qualifications:bachelor’s degree from an accredited university in computer science, data analytics, or a related discipline is required. master’s degree in a related technical discipline is preferred.extensive experience with and proficiency in statistical computing software and data analytic environments (e.g., sas, spss, stata, sql, python, r, tableau), including the ability to analyze large and complex datasets for patterns and trends, and to build statistical models.ability to perform data cleaning, exploratory analysis, and statistical analysis, and to effectively present results using visualizations.prior experience with statistical and datamining concepts such as significance testing, regression, decision trees, clustering, forecasting, sampling, and scenario analysis.prior experience working as a data scientist in any of the following fields is a plus: audits, investigations, law enforcement, criminal justice, oversight, or investigative journalism.interest in investigative work and willingness to contribute to investigations in a non-technical capacity is highly valued.excellent analytical, verbal, and written communication skills and ability to communicate technical results to both technical and non-technical audiences.strong organizational and problem solving skills and ability to work as a team player, meet deadlines, and multitask in a fast-paced environment.familiarity with new york city government is a plus.additional information:new york city residency is required within 90 days of appointment.for eligible employees, health, dental and vision insurance coverage are offered upon hire. retirement plans, deferred compensation plans, group life insurance, paid time off and paid holidays, training resources, health & fitness reimbursement and wellness programs are also available.the new york city council makes reasonable accommodations for applicants and employees with disabilities. if reasonable accommodation is needed to participate in the job application or interview process, to perform essential job functions, and/or to receive other benefits and privileges of employment, please contact eeoofficer@council.nyc.gov.how to apply:qualified candidates should forward a cover letter and resume to:e-mail: counciljobs@council.nyc.govattn: personnel services/recruiting (ds)250 broadway, 26th floornew york, new york 10007fax: 12124014711while we sincerely appreciate all applications, only those candidates selected for an interview will be contacted.the new york city council is an inclusive equal opportunity employer committed to recruiting and retaining a diverse workforce and providing a work environment that is free from discrimination and harassment based upon any legally protected status or protected characteristic, including but not limited to an individual’s sex, race, color, ethnicity, national origin, age, religion, disability, sexual orientation, veteran status, gender identity, or pregnancy.job type: full-timepay: $75,000.00 - $85,000.00 per yearbenefits:401(k)dental insurancehealth insuranceschedule:8 hour shiftwork location: in person",https://www.indeed.com/rc/clk?jk=d6a707055465340d&bb=HTQGJeTs67AyPKJyZGLFnz7Aqzt4yFE74w1Arf3RIgYhjZ9408ntt5sY7LLweePNfB03NFtJvEDP-NwGdYcj3v6ilCD-7gtsOVR5ydKWsZI%3D&xkcb=SoDw67M3DKap4q2aih0BbzkdCdPP&fccid=4df247a3c63cf550&cmp=New-York-City-Council&ti=Data+Scientist&vjs=3,6
associate data analyst,doctors without borders | médecins sans frontières,"new york, ny 10006 (financial district area)","$67,350 - $101,025 a year","about msf-usa | doctors without borders doctors without borders/médecins sans frontières (msf) is an international humanitarian organization providing medical care to people affected by conflict, epidemics, disasters, or exclusion from health care in over 70 countries. we were formed in france in 1971 as an association by a group of doctors and journalists to go to emergency situations and to treat patients with dignity while bearing witness independently of geopolitical boundaries. msf is now a global movement of more than 25 msf organizations, working in over 70 countries. we cooperate as an international, independent, medical humanitarian association that offers medical assistance to populations in distress, victims of natural or manmade disasters, and civilian victims of armed conflict, without discrimination and irrespective of race, religion, age, gender/sex, national or ethnic origin, color, disability, sexual orientation, genetic information, or political affiliation and provides assistance to the population in distress and intervenes worldwide. msf staff also “bear witness” by speaking out about our work and what is experienced on the ground, not only to draw the world’s attention to crises, but to stand in solidarity with our patients and colleagues who are experiencing these emergencies firsthand. we welcome candidates who bring a wide variety of backgrounds and experiences to join us in working toward msf’s social mission. role overview the associate data analyst reports to the senior manager, analytics and is responsible for capturing reporting needs from internal clients and creating deliverables for the fundraising teams with support from key vendors. the associate data analyst also provides necessary support to other members of the data analytics team. department accountabilities prospecting pursue strategic opportunities in coherence with msf-usa´s strategy, that create long-term value for the movement by identifying and developing new audience segments or donors for its mission. donor cultivation, engagement and management build trust and loyalty with potential and existing donors. at the simplest level, update donors on activities. at a more complex level, build long-term relationships with key donors and key donor segments. take overall responsibility for designing, developing, and delivering the donor engagement strategy. may be through channels or through personal relationships. fundraising secure reliable, sustainable and efficient resources in alignment with msf-us commitments. brand positioning drive awareness and consideration through brand positioning based on the brand strategy and implement brand plans. best-in-class fundraising systems and capabilities deploy and champion the latest technological systems and capabilities that push the boundaries of what development can produce for its donors. roles specific outcomes insights and reporting contribute to the preparation of various data and analytics reports. data collection and analysis collate and analyze data using pre-set tools, methods and formats. involves working independently. produce accurate reports for others by collecting data from a variety of standard sources and inputting it into standard formats. information and business advice resolve queries from internal or external donors or suppliers by providing information on policies and/or procedures, referring complex issues to others. program management support others by carrying out a range of project management activities. these core accountabilities should not be construed to contain every function/responsibility that may be required to be performed by an incumbent in this job. incumbents are required to perform other functions as assigned. complexity and problem-solving skills operates as a recognized expert to shift into and out of a mental mindsets associated with assessing the facts and circumstances of the current situation and/or environment and making the appropriate/innovative adjustments to thinking and work habits to thrive in any scenario. typically known as a subject matter authority. applies expertise to act as an authority to accurately identify and understand the key donation influences pertaining to an opportunity. applies expertise to act as an authority to quickly and effectively establish trust within the client’s organization. applies expertise to act as an authority to orient msf-usa around delivering to the key needs of their donors. behavioral competencies thought: how msf usa staff understand the organization, manage complexity, and contribute by creating the new and different. people focus builds strong relationships and delivers solutions geared to aiding others. solicits feedback and data; conveys a clear understanding of the level of service the team is providing; takes action when standards are not met by team; aligns processes with organizational needs. manages complexity makes sense of complex, high quantity, and sometimes contradictory information to effectively solve problems. consistently looks at complex issues from many angles; obtains a rich and deep understanding; swiftly cuts to the core issue; skillfully separates root causes from symptoms. global perspective takes a broad view when approaching issues, using a global lens. shows global thinking at work; adjusts organizational practices to meet the unique needs of different regions or countries. uses a broad perspective when addressing issues and challenges. cultivates innovation creates new and better ways for the organization to be successful. approaches professional work in unique or innovative ways. offers original ideas. appreciates others' creative ideas and solutions and provides helpful input to enhance them. results: msf usa staff achieve results by cultivating a forward-thinking environment that produces solutions for changing stakeholder needs. drives results consistently achieves results, even under tough circumstances. regularly pushes self to achieve outstanding outcomes; consistently establishes bold goals for own performance; is passionate about excellent results and significant contributions. shows great tenacity to complete goals/initiatives in a timely way. people: msf usa staff understand their impact on others through collaboration and inclusion of different perspectives to achieve common goals. collaborates builds partnerships and works collaboratively with others to meet shared objectives. readily involves others to accomplish goals; stays in touch and shares information; discourages ""us versus them"" thinking; shows appreciation for others' ideas and input. values differences recognizes the value that different perspectives and cultures bring to an organization. confronts stereotyping and offensive comments promptly. consistently behaves with great sensitivity toward differences in cultural norms, expectations, and ways of communicating. communicates effectively develops and delivers multi-mode communications that convey a clear understanding of the unique needs of different audiences. listens attentively and takes an interest. keeps others well informed; conveys information clearly, concisely, and professionally when speaking or writing. self: msf usa staff demonstrate self-awareness by having an open mindset and by continuously seeking opportunities to learn, grow, and improve. instills trust gains the confidence and trust of others through honesty, integrity, and authenticity. models honesty and authenticity and encourages others to be up front with one another. demonstrates reliability and places a strong emphasis on the team meeting its commitments. fairly represents others' positions. manages ambiguity operates effectively, even when things are not certain or the way forward is not clear. responds effectively to unclear situations, seeks to resolve ambiguity and make progress. seeks guidance on how to adapt to changes, responds with appropriate composure and effectiveness. situational adaptability adapts approach and demeanor in real time to match the shifting demands of different situations. serves as an example of adaptability and provides guidance and support to help others adapt to new situations. considers the needs of clients, constituents, and the organization; shifts priorities appropriately. technical competencies plans and aligns planning and prioritizing work to meet commitments aligned with msf-usa goals. financial acumen interprets and applies understanding of key financial indicators to make better business decisions. tech savvy anticipating and adopting innovations in organizational digital and technology applications. data collection and analysis the ability and skill to determine and analyze trends from data that is collected to assist in compiling reports that will help in decision-making. project management skills the ability and skill to plan and manage small project work assignments within desired cost, time and quality parameters. presentation and written communication skills adapts approach and demeanor in real time to match the shifting demands of different situations. serves as an example of adaptability and provides guidance and support to help others adapt to new situations. considers the needs of clients, constituents, and the organization; shifts priorities appropriately. supervisory responsibility no supervisory responsibility for this role. desired qualifications & experience at a minimum the job holder should possess: 1-3+ years of experience building analytics reports and visualization using a variety of tools in a business/marketing or nonprofit setting       intermediate to advanced sql skills knowledge of relational database concepts and technology experience building analytics reports and visualization using a variety of tools in a business/marketing or nonprofit setting ability to think through problems systematically, integrate information from multiple sources, propose and implement solutions. knowledge of relational database concepts and technology. beginner or intermediate in python. preferred qualifications: familiarity with salesforce marketing cloud and salesforce platform reporting preferred experience with revolution online (roi) donor database or similar experience visualizing data for reports in a tool such as powerbi or tableau. travel requirements must be willing to travel for work as needed. compensation $67,350 - $101,025 (depending upon experience)",https://www.indeed.com/rc/clk?jk=8b8f2a630a54ea71&bb=FEqld43g_1k0lHv_2i1a3j1WEnkAvGbvPFD9SVEWbKCE9InMV_HAiF5y3z-W6vCk_Be-x1GbEPwQzn4wBbVCAVcsLwKrlT61mPh5QHPzgEQ%3D&xkcb=SoBI67M3DKY59n2alJ0NbzkdCdPP&fccid=8f66266f902b71ba&vjs=3,5
technology & data analyst,greystone monticello llc,"new york, ny 10016 (gramercy area)","$80,000 - $100,000 a year","greystone monticello, llc and its affiliates (“greystone monticello”) is a real estate and asset-based lender providing asset management and comprehensive capital solutions for healthcare, multifamily, and commercial real estate assets throughout the us. greystone monticello is seeking leaders and team players who can work in a collaborative environment and possess drive, integrity, creativity, compassion, and a strong work ethic. we are looking for a technology and data analytics analyst for our new york city office to support the head of technology and data analytics, investment management teams such as originations, underwriting and asset management as well as finance, accounting, compliance, investor relations, and human resources. the data analytics and technology analyst’s primary responsibilities are:proactively analyze investment related data to answer key questions from internal and external stakeholders including executive management, investment team members, and investorsdevelop custom investment related models & analysis reports across healthcare and multi-family real estate debt and equity for ongoing reporting and ad-hoc projectsperform qualitative and quantitative research on public and proprietary data sets to develop insights, create presentations, and make actionable business recommendationsevaluate individual investment and portfolio performance across asset class, geography, and other segmentations to identify key trendsfind, explore, and integrate new data sets from vendors and public sources while maintaining high standard for data integrity and normalizationestablish and execute procedures and controls for gathering data while also ensuring the excellence and reliability of imported data through quality control and quality assurance measures.break complex processes down into their individual components and identify areas where data and technology can increase efficiencies, effectiveness, and scalabilityassist with the implementation large data assimilation projects, such as portfolio data transferssustain and oversee the data management systems critical to the firm's success.process confidential data and information according to internal guidelines job requirements:bachelor’s degreefinance, accounting, credit, legal, real estate and/or business backgroundestablished organizational skills and ability to simultaneously handle multiple projectsextensive technical skills including, ilevel, power bi, tableau, sql, pythonexperience sourcing and analyzing data through apis, data scraping, and database queryingability to quickly learn new tools and technologiesexperience implementing and optimizing workflow management tools like monday.com or jira preferred but not requiredinterest in financing healthcare, senior housing, multi-family housing and/or renewable energy preferredeffective oral and written communication and interpersonal skills to liaise with borrowers, financing counterparties, and other external partiesadvanced financial analytical proficiency along with the ability to “see the big picture”strong grasp of logic and data analyticspassion for the firm and passion for what we dointellectual curiosity and a desire to understand the purpose behind their work at greystone monticello, we believe that finding creative solutions for our clients comes from the collaboration of people with diverse backgrounds and perspectives. we strive to build an inclusive work environment that celebrates differences and empowers all individuals with opportunities to channel their entrepreneurial spirit. greystone monticello is an eeo employer. greystone monticello offers a competitive base salary and bonus. the base salary range for this position is $80,000-$100,000/year. the specific compensation that will be offered is based on an understanding of the hired candidates' qualifications at the time of hire. employees are eligible for a discretionary bonus based on employee work performance reviewed during the annual review process.",https://www.indeed.com/rc/clk?jk=d26467e75d128852&bb=fzJ4QsWJHoNScok1Pbwen0vAR6AuQbiZuopzE3f_mDusQU5Lwgg2FiOL-O086RbCjAQxer8Dzbs3VaSCpHUjwil3HHvGOaho2zYJo42zvRI%3D&xkcb=SoAc67M3DKaLA3WxJh0XbzkdCdPP&fccid=84fdc930694ca294&vjs=3,5
data analyst,nypd civilian jobs,"queens, ny","$59,314 - $84,414 a year","taxi & limousine commission full-time location queensexam may be required departmentanalyticssalary range: $59,314.00 – $84,414.00 job description         the new york city taxi and limousine commission (tlc) is the city agency responsible for oversight of the for-hire vehicle industries in new york city, including the drivers and owners of yellow medallion taxis, green boro taxis, community car services, black cars (include those booked via smartphone app), certain luxury limousines, commuter vans, and paratransit vehicles. these industries serve more than 1,000,000 passengers each day and are a key component of the city’s transportation network. through functions such as driver background checks, vehicle inspections, and driver education, tlc’s role is to promote the highest standards of safety and consumer protection in the industries we regulate.           under the supervision of the executive director of licensing initiatives and reporting, the cyber security analysts will leverage new technologies and analytical capabilities to support and enhance customer service and business processes for the licensing division. with the top priorities which are to develop content to improve our existing cyber defense measures, and to examine and identify accurate measurable core metrics to enable efficient operational management and provide insight to support continuous improvement. the analyst will develop a firm grasp of the desired business impact, using it to shape the integrated approach to data model building, report creation and organizational optimization. additionally, the analyst will review and advise on improvements that could be implemented in our systems security protocols and practices. understanding of the core business and judgments that managers make, will lead to reports that complement existing decision processes, provide managers with an intuitive tool and interface that can propel them to achieving their goals. development of business need-based reports will sync with the division's day-to-day processes and decision-making norms. the analysts will train and support the division's units to gain better analytical and cyber security literacy which is central to problem solving, identifying opportunities, and yielding better decisions.          these positions will interface with all internal tlc divisions, as well as with vendors, other city agencies, and tlc licensees. a successful candidate has demonstrated experience in detailed research, cyber defense expertise and analytics with some additional technical background. the chosen candidate will conduct research, process analysis, provide accurate and timely analytical and reporting services for the tlc’s licensing and standards division, may include but are not limited to:         monitor server traffic to identify security incidents and events.perform incident reports on cyber security incidents and threats to determine the impact and appropriate actions to mitigate threats. make data analysis driven recommendations on data security policies and procedures;provides data-driven interpretation of complex problems.become a subject matter expert on the division’s systems.assess unit’s software security protocols to make proper installation of updates that could reduce system vulnerability.manage and maintain security scripts used to support licensing programs with identifying vulnerabilities in data systems;work with tlc it staff to document and resolve security data issues;build foundational views that aggregate raw data into digestible pieces of information;make the division’s data accessible to the broader agency with data visualizations;identify business needs and translate these needs into specific and measurable metrics for operational and performance management;develop cyber security scripts, security monitoring solutions, analytic tools, visual reports, dashboards to address areas of need and provide for the ability to monitor key performance indicators. prioritize and manage data security requests for research, data analysis, and reports development;manage the processing, cleaning, and preparation of data for analysis: document data management procedures (e.g., data dictionaries, business rules), monitor data quality, identify data issues and work with unit staff to resolve;conduct qualitative research to understand issues at their fundamental core;implement quantitative analysis and statistical modeling techniques to evaluate the impact of new policies specially for data security purposes;design and interpret data security measures for licensing, identify gaps and make recommendations for corrections and improved performance;present findings and actionable recommendations to internal and external stakeholders and facilitate decision-making among management;respond quickly and accurately to ad hoc data requests from internal and external audiences;provide visualizations on performance of the operational unit by interpreting trends or patterns in complex datasets;develop and maintain data security project plans, user guides, data dictionaries, and standard operating procedures (sops);conduct network protocol special projects and perform other duties as assigned. minimum qualifications 1. a baccalaureate degree, from an accredited college including or supplemented by twenty-four (24) semester credits in cyber security, network security, computer science, computer programming, computer engineering, information technology, information science, information systems management, network administration, or a pertinent scientific, technical or related area; or  2. a four-year high school diploma or its equivalent approved by a state’s department of education or a recognized accrediting organization and three years of satisfactory experience in any of the areas described in “1” above; or  3. education and/or experience equivalent to “1” or “2”, above. college education may be substituted for up to two years of the required experience in “2” above on the basis that sixty (60) semester credits from an accredited college is equated to one year of experience. in addition, twenty-four (24) credits from an accredited college or graduate school in cyber security, network security, computer science, computer programming, computer engineering, information technology, information science, information systems management, network administration, or a pertinent scientific, technical or related area; or a certificate of at least 625 hours in computer programming from an accredited technical school (post high school), may be substituted for one year of experience. preferred skills the successful candidate should possess the following: - knowledge of quantitative, analytical, problem-solving, planning, and organizational skills - knowledge of interpersonal and teamwork skills - excellent oral and written communication skills when interacting with both business and it individuals at all levels - self-starter with ability to follow-up effectively and manage multiple priorities - knowledge of analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy - ability to research, design and create various data visualizations and dashboards - knowledge of statistical analysis software & data visualization techniques using tools like power bi and ms sql server management studio - knowledge of excel - knowledge of excel - knowledge of sql - knowledge of database management is a plus.         55a program this position is also open to qualified persons with a disability who are eligible for the 55-a program. please indicate at the top of your resume and cover letter that you would like to be considered for the position through the 55-a program.         public service loan forgiveness as a prospective employee of the city of new york, you may be eligible for federal loan forgiveness programs and state repayment assistance programs. for more information, please visit the u.s. department of education’s website at https://studentaid.gov/pslf/.         residency requirement new york city residency is generally required within 90 days of appointment. however, city employees in certain titles who have worked for the city for 2 continuous years may also be eligible to reside in nassau, suffolk, putnam, westchester, rockland, or orange county. to determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.         additional information the city of new york is an inclusive equal opportunity employer committed to recruiting and retaining a diverse workforce and providing a work environment that is free from discrimination and harassment based upon any legally protected status or protected characteristic, including but not limited to an individual's sex, race, color, ethnicity, national origin, age, religion, disability, sexual orientation, veteran status, gender identity, or pregnancy.job id 626559title code13633civil service titlecyber security analysttitle classificationcompetitive-1business titledata analystexperience level: entry-level number of positions1work location31-00 47 ave, 3 fl, lic nycategory: constituent services & community programs",https://www.indeed.com/rc/clk?jk=45ecdf192a427214&bb=bstFvCYAl5_UP90eDKi6crqgn9sQfYCdWs0Y-91Pd-OqJeYWz-4-N_ZOsjU_bVorvvP_rN9Ety_yCmjMbPynCElWjK_oTKPVtRMSdgr69P4%3D&xkcb=SoCw67M3DKZJixwiKB0NbzkdCdPP&fccid=58c0f390ec9671eb&vjs=3,4
data analyst,nyc careers,"queens, ny","$59,314 - $84,414 a year","data analyst       apply      data analyst agency: taxi & limousine commission        posted on: 02/16/2024       job type: full-time location queenstitle classification: exam may be required departmentanalytics      salary range: $59,314.00 – $84,414.00      job description      the new york city taxi and limousine commission (tlc) is the city agency responsible for oversight of the for-hire vehicle industries in new york city, including the drivers and owners of yellow medallion taxis, green boro taxis, community car services, black cars (include those booked via smartphone app), certain luxury limousines, commuter vans, and paratransit vehicles. these industries serve more than 1,000,000 passengers each day and are a key component of the city’s transportation network. through functions such as driver background checks, vehicle inspections, and driver education, tlc’s role is to promote the highest standards of safety and consumer protection in the industries we regulate.        under the supervision of the executive director of licensing initiatives and reporting, the cyber security analysts will leverage new technologies and analytical capabilities to support and enhance customer service and business processes for the licensing division. with the top priorities which are to develop content to improve our existing cyber defense measures, and to examine and identify accurate measurable core metrics to enable efficient operational management and provide insight to support continuous improvement. the analyst will develop a firm grasp of the desired business impact, using it to shape the integrated approach to data model building, report creation and organizational optimization. additionally, the analyst will review and advise on improvements that could be implemented in our systems security protocols and practices. understanding of the core business and judgments that managers make, will lead to reports that complement existing decision processes, provide managers with an intuitive tool and interface that can propel them to achieving their goals. development of business need-based reports will sync with the division's day-to-day processes and decision-making norms. the analysts will train and support the division's units to gain better analytical and cyber security literacy which is central to problem solving, identifying opportunities, and yielding better decisions.       these positions will interface with all internal tlc divisions, as well as with vendors, other city agencies, and tlc licensees. a successful candidate has demonstrated experience in detailed research, cyber defense expertise and analytics with some additional technical background. the chosen candidate will conduct research, process analysis, provide accurate and timely analytical and reporting services for the tlc’s licensing and standards division, may include but are not limited to:      monitor server traffic to identify security incidents and events.perform incident reports on cyber security incidents and threats to determine the impact and appropriate actions to mitigate threats. make data analysis driven recommendations on data security policies and procedures;provides data-driven interpretation of complex problems.become a subject matter expert on the division’s systems.assess unit’s software security protocols to make proper installation of updates that could reduce system vulnerability.manage and maintain security scripts used to support licensing programs with identifying vulnerabilities in data systems;work with tlc it staff to document and resolve security data issues;build foundational views that aggregate raw data into digestible pieces of information;make the division’s data accessible to the broader agency with data visualizations;identify business needs and translate these needs into specific and measurable metrics for operational and performance management;develop cyber security scripts, security monitoring solutions, analytic tools, visual reports, dashboards to address areas of need and provide for the ability to monitor key performance indicators. prioritize and manage data security requests for research, data analysis, and reports development;manage the processing, cleaning, and preparation of data for analysis: document data management procedures (e.g., data dictionaries, business rules), monitor data quality, identify data issues and work with unit staff to resolve;conduct qualitative research to understand issues at their fundamental core;implement quantitative analysis and statistical modeling techniques to evaluate the impact of new policies specially for data security purposes;design and interpret data security measures for licensing, identify gaps and make recommendations for corrections and improved performance;present findings and actionable recommendations to internal and external stakeholders and facilitate decision-making among management;respond quickly and accurately to ad hoc data requests from internal and external audiences;provide visualizations on performance of the operational unit by interpreting trends or patterns in complex datasets;develop and maintain data security project plans, user guides, data dictionaries, and standard operating procedures (sops);conduct network protocol special projects and perform other duties as assigned. minimum qualifications      1. a baccalaureate degree, from an accredited college including or supplemented by twenty-four (24) semester credits in cyber security, network security, computer science, computer programming, computer engineering, information technology, information science, information systems management, network administration, or a pertinent scientific, technical or related area; or  2. a four-year high school diploma or its equivalent approved by a state’s department of education or a recognized accrediting organization and three years of satisfactory experience in any of the areas described in “1” above; or  3. education and/or experience equivalent to “1” or “2”, above. college education may be substituted for up to two years of the required experience in “2” above on the basis that sixty (60) semester credits from an accredited college is equated to one year of experience. in addition, twenty-four (24) credits from an accredited college or graduate school in cyber security, network security, computer science, computer programming, computer engineering, information technology, information science, information systems management, network administration, or a pertinent scientific, technical or related area; or a certificate of at least 625 hours in computer programming from an accredited technical school (post high school), may be substituted for one year of experience. preferred skills      the successful candidate should possess the following: - knowledge of quantitative, analytical, problem-solving, planning, and organizational skills - knowledge of interpersonal and teamwork skills - excellent oral and written communication skills when interacting with both business and it individuals at all levels - self-starter with ability to follow-up effectively and manage multiple priorities - knowledge of analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy - ability to research, design and create various data visualizations and dashboards - knowledge of statistical analysis software & data visualization techniques using tools like power bi and ms sql server management studio - knowledge of excel - knowledge of excel - knowledge of sql - knowledge of database management is a plus.            55a program      this position is also open to qualified persons with a disability who are eligible for the 55-a program. please indicate at the top of your resume and cover letter that you would like to be considered for the position through the 55-a program.            public service loan forgiveness      as a prospective employee of the city of new york, you may be eligible for federal loan forgiveness programs and state repayment assistance programs. for more information, please visit the u.s. department of education’s website at https://studentaid.gov/pslf/.            residency requirement      new york city residency is generally required within 90 days of appointment. however, city employees in certain titles who have worked for the city for 2 continuous years may also be eligible to reside in nassau, suffolk, putnam, westchester, rockland, or orange county. to determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.            additional information      the city of new york is an inclusive equal opportunity employer committed to recruiting and retaining a diverse workforce and providing a work environment that is free from discrimination and harassment based upon any legally protected status or protected characteristic, including but not limited to an individual's sex, race, color, ethnicity, national origin, age, religion, disability, sexual orientation, veteran status, gender identity, or pregnancy. minimum qualifications     1. a baccalaureate degree, from an accredited college including or supplemented by twenty-four (24) semester credits in cyber security, network security, computer science, computer programming, computer engineering, information technology, information science, information systems management, network administration, or a pertinent scientific, technical or related area; or  2. a four-year high school diploma or its equivalent approved by a state’s department of education or a recognized accrediting organization and three years of satisfactory experience in any of the areas described in “1” above; or  3. education and/or experience equivalent to “1” or “2”, above. college education may be substituted for up to two years of the required experience in “2” above on the basis that sixty (60) semester credits from an accredited college is equated to one year of experience. in addition, twenty-four (24) credits from an accredited college or graduate school in cyber security, network security, computer science, computer programming, computer engineering, information technology, information science, information systems management, network administration, or a pertinent scientific, technical or related area; or a certificate of at least 625 hours in computer programming from an accredited technical school (post high school), may be substituted for one year of experience. preferred skills     the successful candidate should possess the following:\n- knowledge of quantitative, analytical, problem-solving, planning, and organizational skills\n- knowledge of interpersonal and teamwork skills\n- excellent oral and written communication skills when interacting with both business and it individuals at all levels\n- self-starter with ability to follow-up effectively and manage multiple priorities\n- knowledge of analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy\n- ability to research, design and create various data visualizations and dashboards\n- knowledge of statistical analysis software & data visualization techniques using tools like power bi and ms sql server management studio\n- knowledge of excel\n- knowledge of excel\n- knowledge of sql\n- knowledge of database management is a plus.          55a program     this position is also open to qualified persons with a disability who are eligible for the 55-a program. please indicate at the top of your resume and cover letter that you would like to be considered for the position through the 55-a program.          public service loan forgiveness     as a prospective employee of the city of new york, you may be eligible for federal loan forgiveness programs and state repayment assistance programs. for more information, please visit the u.s. department of education’s website at https://studentaid.gov/pslf/.          residency requirement     new york city residency is generally required within 90 days of appointment. however, city employees in certain titles who have worked for the city for 2 continuous years may also be eligible to reside in nassau, suffolk, putnam, westchester, rockland, or orange county. to determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.          additional information     the city of new york is an inclusive equal opportunity employer committed to recruiting and retaining a diverse workforce and providing a work environment that is free from discrimination and harassment based upon any legally protected status or protected characteristic, including but not limited to an individual's sex, race, color, ethnicity, national origin, age, religion, disability, sexual orientation, veteran status, gender identity, or pregnancy.job id 626559title code13633civil service titlecyber security analysttitle classificationcompetitive-1business titledata analystexperience level: entry-level number of positions1work location31-00 47 ave, 3 fl, lic nycategory: constituent services & community programs",https://www.indeed.com/rc/clk?jk=b1617ccf952ffa9b&bb=odXqJJvpFE1CerTJ4VXb_yr81ab4XtUk4oG_S8oTfotRUZfZ9ARCH555NZAIxcYqRKo_YZVrh45Mq6EeeyXgNgDgrXgyVWz-eVq8_WGrwQc%3D&xkcb=SoDA67M3DKZaqrQiCB0DbzkdCdPP&fccid=7d7b563c6a3a9653&vjs=3,4
10101 - data analyst,the fund for public health in new york city,"hybrid remote in new york, ny","$82,000 - $100,000 a year","working closely with cir analysts to fulfill internal reporting requirements, respond to data requests, and complete grant-funded projects.designing, planning, and conducting data analysis to examine vaccination coverage levels among children, adolescents, and adults by neighborhood and citywide.developing methods to measure and improve immunization coverage rates among all strata of the nyc population.assisting with the planning, development and implementation of protocols and research related to cir data quality and vaccination coverage improvements.coordinating research efforts using cir data and assisting with research projects with other dohmh programs, the centers for disease control and prevention (cdc), other iiss and outside agencies.collaborating with computer consultants and other boi staff to plan, test and implement enhancements to cir’s immunization calculation engine (ice) and record matching algorithm (choicemaker).assisting boi senior leadership in developing indicators relating to vaccine uptake and cir reporting by providers immunizing children, adolescents, and adults.participating in national workgroups, conferences and meetings that address the challenges, best practices, and latest advances in improving immunization data quality.training and supervising other analysts.preparing irb applications, grant proposals and other funding requests.developing reports for senior management and external stakeholders.preparing reports and presentations for national and local conferences and meetings, and also manuscripts for peer-reviewed publication.experience with advanced data query and analysis tools and techniques.proficiency in data query tools such as sql, statistical software such as r or sas, and data visualization tools such as tableau or power bi.experience in research methods and using quantitative data analysis techniques and tools.experience in manipulation of large datasets, preferably with patient-level healthcare data.ability to interpret and present findings in professional settings.excellent oral and written communication skills.strong management, interpersonal and organizational skills.ability to balance competing priorities while meeting deadlines.knowledge of key concepts in public health, statistics, and the biological sciences.salary range is $82,000 to $100,000generous paid time off (pto) policymedical, dental, and life insurance with low or no employee contributiona retirement savings plan with generous employer contributionflexible spending medical and commuter benefits planfun all staff events all year roundmeaningful work at an organization striving to advance health equity and social justice",https://www.indeed.com/rc/clk?jk=f58465716ab6ffec&bb=odXqJJvpFE1CerTJ4VXb_xSdxE0accSCQle6Cgqho939CcSg5SnpNElevpG3Z8NOyLwnjj6110D1JQljRWtcYn9Kd_GNFdaEJDK8nB9m8II%3D&xkcb=SoD667M3DKZaqrQiCB0FbzkdCdPP&fccid=c6b5143eab3dbe34&vjs=3,4
